,T/K,Normalized SMILES,Toluene_298,Toluene_328,Styrene_328,Styrene_298,Styrene_298_STD
0,298.15,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1.2519065,1.2764204,0.9235169,0.9224491,0.12498268
1,298.15,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.6603357,0.6926218,0.35725644,0.35063872,0.06565078
2,298.15,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1.4272125,1.4466239,1.2444929,1.2505214,0.117683865
3,298.15,CC[n+]1ccn(C)c1.[Cl-],1.7471669,1.7994856,1.5485764,1.4378985,0.13890377
4,298.15,CC[n+]1ccn(C)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,0.55745566,0.60465634,0.52252376,0.51268625,0.067222826
5,298.15,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,-0.24537161,-0.16022825,-0.3137475,-0.35997754,0.06506878
6,298.15,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1.340028,1.3420275,1.1712631,1.1832447,0.07199291
7,298.15,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,2.2044168,2.2201622,1.8944819,1.8691366,0.082824424
8,298.15,CCCC[n+]1ccn(C)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,0.28435847,0.3409472,0.18736541,0.1426371,0.04649335
9,298.15,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1.0602504,1.0711434,0.86724454,0.85677224,0.048287142
10,298.15,Cn1cc[n+](Cc2ccccc2)c1.[Cl-],1.6259916,1.6470692,1.3864542,1.3560867,0.06975138
11,298.15,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1.3890562,1.4064682,1.1458219,1.1473379,0.06615198
12,298.15,CC[n+]1ccn(C)c1.N#C[N-]C#N,1.476699,1.4865296,1.2188542,1.1902063,0.07293343
13,298.15,CC(=O)[O-].CC[n+]1ccn(C)c1,1.736878,1.7631209,1.5500344,1.5149877,0.09644538
14,298.15,CCCCCC[n+]1ccn(C)c1.[Cl-],1.4313157,1.4505186,1.1618072,1.145416,0.08570059
15,298.15,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],0.81426305,0.8506854,0.67844987,0.67232096,0.07077488
16,298.15,CN1CC[N+](C)=C1Cl.[Cl-],1.978645,1.9838102,1.6300957,1.5832145,0.11161354
17,298.15,CCCCOP(=O)([O-])OCCCC.CCCC[n+]1ccn(C)c1,0.41409382,0.43657464,0.043696385,0.073497444,0.1012817
18,298.15,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,1.3270525,1.3340505,1.1212661,1.1533114,0.10996698
19,298.15,CCCC[n+]1ccn(C)c1C.[Cl-],1.3261359,1.3487965,1.1547467,1.1343958,0.06284967
20,298.15,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.16777581,0.23570514,0.011746788,-0.02478693,0.07504412
21,298.15,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1.7549562,1.7522068,1.61485,1.6767174,0.10161311
22,298.15,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,-0.42603055,-0.331723,-0.41588625,-0.49994206,0.1044239
23,298.15,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1.2967066,1.3193253,1.0992723,1.0755484,0.056070298
24,298.15,C=Cn1cc[n+](CC)c1.F[P-](F)(F)(F)(F)F,1.4863214,1.481281,1.191924,1.2276833,0.11665716
25,298.15,CCC[n+]1ccn(C)c1C.F[B-](F)(F)F,1.3475884,1.3555447,1.2195961,1.2643073,0.13446645
26,298.15,CCCC[n+]1ccn(C)c1C.O=[N+]([O-])[O-],1.0808281,1.0951939,0.8213911,0.8121821,0.06872738
27,298.15,CCCCCCCCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],0.20373473,0.2664259,0.026576066,-0.008989846,0.05537921
28,298.15,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1.43042,1.4514143,1.2402234,1.2602574,0.053274732
29,298.15,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],2.0123441,2.031339,2.1288342,2.2107124,0.14239572
30,298.15,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,2.7645135,2.7123609,2.47374,2.5381002,0.14549182
31,298.15,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,1.2887712,1.3222829,1.0827764,1.0784091,0.12170376
32,298.15,CC(O)C(=O)[O-].CCCC[n+]1ccn(C)c1,1.5342667,1.5533031,1.3278034,1.3146605,0.0595141
33,298.15,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],2.2758138,2.2977245,2.38868,2.4432747,0.08996854
34,298.15,C=Cn1cc[n+](CC)c1.F[B-](F)(F)F,2.0287147,2.0235496,1.7177385,1.7303175,0.14061275
35,298.15,C=Cn1cc[n+](CCCC)c1.F[P-](F)(F)(F)(F)F,1.1114916,1.1188751,0.9168622,0.9271356,0.07339573
36,298.15,C=Cn1cc[n+](CCCC)c1.F[B-](F)(F)F,1.589085,1.5859191,1.4640162,1.4770231,0.11911563
37,298.15,CCCCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,0.4440648,0.50187707,0.20286119,0.155861,0.054936815
38,298.15,CC[n+]1ccn(C)c1.N#C[S-],1.7525403,1.7628708,1.5501593,1.5172669,0.100283384
39,298.15,CC[n+]1ccn(C)c1C.O=S(=O)([O-])C(F)(F)F,1.0906589,1.0940329,0.9485963,0.9454028,0.06616867
40,298.15,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.32443085,0.37905133,0.17441063,0.13796528,0.040864453
41,298.15,C=CC[n+]1ccn(C=C)c1.F[B-](F)(F)F,2.099112,2.0786178,1.9103525,1.926334,0.13558283
42,298.15,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,1.5406816,1.5344332,1.4870932,1.5229032,0.108613156
43,298.15,Cn1cc[n+](Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F,1.1785723,1.176073,1.0656459,1.1404022,0.13071263
44,298.15,C=CC[n+]1ccn(C=C)c1.[Cl-],2.328466,2.3505433,2.1018417,2.052417,0.1373346
45,298.15,CCCCCC[n+]1ccn(C)c1.[O-][Cl+3]([O-])([O-])[O-],0.74336183,0.80874634,0.54598606,0.5079275,0.07903813
46,298.15,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1.3282397,1.3435687,0.9360617,0.9211911,0.045928575
47,298.15,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1.1507673,1.1691997,0.8450612,0.81004846,0.05480658
48,298.15,CCCC[n+]1ccn(C)c1C.F[P-](F)(F)(F)(F)F,0.805669,0.81518203,0.642418,0.67488515,0.086768694
49,298.15,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.8748949,0.9285013,0.6603819,0.63572013,0.10414013
50,298.15,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1.5207288,1.5293096,1.3401752,1.3400528,0.07685186
51,298.15,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1.4739915,1.4889456,1.5859829,1.6519489,0.15171005
52,298.15,CCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,-0.3964553,-0.30239767,-0.38897693,-0.4452471,0.06421307
53,298.15,CC[n+]1ccn(C)c1.[O-][Cl+3]([O-])([O-])[O-],1.3291352,1.3669999,1.2035041,1.1921309,0.106532775
54,298.15,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,2.4016957,2.4162753,2.2126448,2.189824,0.105130926
55,298.15,Cn1cc[n+](CCO)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,1.2547805,1.2451375,1.1689199,1.1951549,0.10748276
56,298.15,CCCC[n+]1ccn(C)c1C.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,0.2967926,0.34280083,0.18270004,0.1443007,0.046053305
57,298.15,CCC[n+]1ccn(C)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,0.39250597,0.4502194,0.345947,0.31824183,0.048862074
58,298.15,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,-0.25899288,-0.17280813,-0.20636022,-0.27390945,0.07927583
59,298.15,Cn1cc[n+](C)c1.F[B-](F)(F)F,2.3033898,2.241823,1.875612,1.9503853,0.15919515
60,298.15,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1.648777,1.6673553,1.3723538,1.3516734,0.061746147
61,298.15,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,-0.1482315,-0.07237727,-0.26567733,-0.3089718,0.060736734
62,298.15,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,-0.57215726,-0.48184857,-0.54143524,-0.591072,0.069319926
63,298.15,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([O-])C(F)(F)F,0.5116453,0.5490049,0.39609998,0.36759266,0.046643365
64,298.15,CCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,-0.51025754,-0.41853255,-0.4875334,-0.54595363,0.06754837
65,298.15,CCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.09316079,0.17155601,-0.04915324,-0.088287316,0.059639916
66,298.15,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,2.9709568,2.888313,2.7284205,2.7716851,0.14493644
67,298.15,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,1.3125565,1.3612411,1.0323453,0.99081975,0.082763575
68,298.15,CCCCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,0.85801923,0.8950925,0.62117386,0.6244583,0.092673145
69,298.15,CCCCCC[n+]1ccn(C)c1C.F[P-](F)(F)(F)(F)F,0.32406643,0.3738132,0.19640462,0.18632574,0.07094163
70,298.15,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.25628287,0.33105406,0.10255529,0.081211425,0.059578624
71,298.15,CCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,-0.2662409,-0.17705695,-0.25867927,-0.30590588,0.06229131
72,298.15,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,1.6998047,1.733712,1.3923692,1.356462,0.07039144
73,298.15,CCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.854856,0.8884823,0.7428892,0.7532376,0.08370442
74,298.15,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],0.6271788,0.666619,0.54853743,0.5363423,0.06758547
75,298.15,Cn1cc[n+](Cc2ccccc2)c1.F[B-](F)(F)F,1.77795,1.7554562,1.6338866,1.6659349,0.11257099
76,298.15,CC[n+]1ccn(C)c1C.F[P-](F)(F)(F)(F)F,1.2840018,1.268756,1.2522408,1.3318698,0.15630615
77,298.15,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.36569563,0.43625966,0.098348096,0.065636754,0.08459654
78,298.15,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.6879018,0.724289,0.542185,0.5171507,0.043102328
79,298.15,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1.0270201,1.0541818,0.85946214,0.897093,0.1293313
80,298.15,CN1CC[N+](C)=C1Cl.F[P-](F)(F)(F)(F)F,1.8309772,1.7832819,1.4639746,1.4986985,0.13627301
81,298.15,CN1CC[N+](C)=C1Cl.F[B-](F)(F)F,2.3392131,2.291393,1.8110464,1.8591706,0.1291005
82,298.15,Cn1cc[n+](C)c1.[Cl-],1.5530949,1.6932232,1.1908306,0.9512451,0.28868967
83,298.15,COP(=O)([O-])OC.Cn1cc[n+](C)c1,2.0941136,2.086199,1.9490503,2.0016437,0.15966511
84,298.15,CCCC[n+]1ccn(C)c1.N#C[S-],1.3567319,1.3711445,0.96519625,0.93762505,0.06440768
85,298.15,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],2.0703702,2.0979457,1.8248342,1.8082399,0.12208171
86,298.15,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,0.29877126,0.3643991,0.19236402,0.20010896,0.07649674
87,298.15,C[N+](C)(C)CCO.[Cl-],1.6391128,1.821209,1.2893348,1.017054,0.36166957
88,298.15,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,0.75201243,0.8024564,0.69177437,0.6482436,0.081133276
89,298.15,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],0.39583844,0.42761096,0.38139567,0.35857496,0.07466391
90,298.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],-0.24116445,-0.1813891,-0.28067324,-0.33349568,0.09135343
91,298.15,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,-0.025556743,0.050380837,0.006289941,-0.033025127,0.07354153
92,298.15,CC[N+](CC)(CC)Cc1ccccc1.[Cl-],1.127555,1.1516734,1.032167,0.99615365,0.07510312
93,298.15,C[N+](C)(C)C.[Cl-],0.26978958,0.5741412,-0.283839,-0.6907926,0.5697699
94,298.15,CC[N+](CC)(CC)CC.[Cl-],0.9261036,0.9713008,0.8558265,0.7372861,0.14748195
95,298.15,CCCC[N+](CCCC)(CCCC)CCCC.O=P([O-])(O)O,0.83398896,0.8723253,0.63262904,0.59044033,0.08726367
96,298.15,CCCC[N+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,0.3116427,0.3635868,0.21948163,0.19943187,0.07884347
97,298.15,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.5097656,0.53704464,0.37368947,0.3668475,0.0716704
98,298.15,CCC[N+](CCC)(CCC)CCC.[Cl-],0.5449122,0.5692545,0.4929901,0.4608032,0.08457775
99,298.15,C[N+](C)(C)Cc1ccccc1.[Cl-],1.8673837,1.8720077,1.660421,1.6346811,0.080335416
100,298.15,CC[N+](CC)(CC)CC.F[B-](F)(F)F,1.3451309,1.3335507,1.1452754,1.1801673,0.10519558
101,298.15,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],0.25357527,0.30189538,0.1534997,0.12212785,0.0732828
102,298.15,CCCC[N+](C)(CCCC)CCCC.[Cl-],0.7285756,0.7301038,0.6260059,0.6263746,0.070647165
103,298.15,CC[N+](CC)(CC)CC.O=S(=O)([O-])O,1.743626,1.7523321,1.5558245,1.5278529,0.093053095
104,298.15,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],0.22670761,0.2633434,0.21165045,0.18309145,0.0822257
105,298.15,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,1.1481216,1.1388342,1.0528891,1.1217201,0.13579854
106,298.15,C[N+](C)(C)C.O=[N+]([O-])[O-],2.2095819,2.207999,1.6780827,1.6084368,0.13751732
107,298.15,C[N+](C)(C)C.F[B-](F)(F)F,3.0076134,2.8829808,2.1556604,2.2311873,0.12965475
108,298.15,CC[N+](CC)(CC)CC.O=S(=O)([O-])C(F)(F)F,0.9624201,0.96863234,0.8090994,0.8119036,0.07534605
109,298.15,CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccc(S(=O)(=O)[O-])cc1,0.12731811,0.1792206,0.014204448,-0.014479548,0.057045776
110,298.15,CC[N+](CC)(CC)CC.O=C([O-])C(F)(F)F,0.99867356,1.0187461,0.8904954,0.8733611,0.0663695
111,298.15,C[N+](C)(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,1.9001665,1.8647597,1.6471326,1.7220722,0.109245226
112,298.15,CC[N+](CC)(CC)CC.Cc1ccc(S(=O)(=O)[O-])cc1,0.87169087,0.8853868,0.7517423,0.7833518,0.05542191
113,298.15,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)F,0.13677387,0.19300851,0.1350464,0.094728865,0.063213535
114,298.15,CCCC[N+](C)(CCCC)CCCC.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,-0.006103712,0.055421125,-0.013246382,-0.06477417,0.05560775
115,298.15,C[N+](C)(C)C.F[P-](F)(F)(F)(F)F,3.0906742,2.9348836,2.216977,2.3244185,0.27325362
116,298.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,-0.7352792,-0.6393889,-0.6821467,-0.77290493,0.08928775
117,298.15,CCCC[P+](C)(CCCC)CCCC.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,-0.027931076,0.048048146,-0.089642145,-0.14838032,0.06720617
118,298.15,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,-0.7342795,-0.6538849,-0.77103907,-0.8354093,0.115105756
119,298.15,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],-0.5490802,-0.48351485,-0.5562645,-0.5995474,0.10539129
120,298.15,CCCC[P+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,0.040050335,0.11457159,0.029866833,-0.0053913593,0.075786516
121,298.15,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,0.2938559,0.34828892,0.15249996,0.13346593,0.08320082
122,298.15,CCCC[n+]1ccccc1.[Cl-],1.6589825,1.6826845,1.4764295,1.4470899,0.08910264
123,298.15,CCCC[n+]1ccccc1.F[B-](F)(F)F,1.4722004,1.4695344,1.2255815,1.243158,0.099714205
124,298.15,CCCCCC[n+]1ccccc1.F[B-](F)(F)F,0.96856976,1.0046198,0.75488466,0.7442241,0.10146935
125,298.15,C[n+]1ccccc1.F[P-](F)(F)(F)(F)F,1.9944324,1.9360733,1.8758621,2.0184822,0.26282546
126,298.15,CCCC[n+]1ccc(N(C)C)cc1.F[B-](F)(F)F,0.62487376,0.6901616,0.49538532,0.46258608,0.06658279
127,298.15,CCCCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,0.27505898,0.33057505,0.1185509,0.093487576,0.10399232
128,298.15,CCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,0.87525284,0.88759583,0.6504418,0.6555985,0.07971566
129,298.15,CCCC[n+]1ccc(N(C)C)cc1.[Cl-],0.741722,0.7791128,0.56926095,0.5228119,0.059435148
130,298.15,CCCC[n+]1cccc(C)c1.[Cl-],1.2108552,1.2403054,0.9169224,0.8760651,0.07474927
131,298.15,CCCC[n+]1ccc(N(C)C)cc1.F[P-](F)(F)(F)(F)F,0.11536306,0.19296685,0.08493509,0.049680285,0.04613993
132,298.15,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1.2328284,1.2678812,1.0477083,1.0599158,0.065714635
133,298.15,CCC[N+]1(C)CCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,0.26065665,0.31574577,0.19757096,0.1600005,0.06138315
134,298.15,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,0.5672759,0.60793406,0.32280755,0.30145243,0.04973262
135,298.15,CC[N+]1(C)CCCC1.F[B-](F)(F)F,1.5609677,1.5480127,1.1988178,1.1964867,0.11966076
136,298.15,CCCC[N+]1(C)CCCCC1.F[B-](F)(F)F,1.0458169,1.0733093,0.75276345,0.73022807,0.10185865
137,298.15,CCCC[N+]1(C)CCCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,0.07158337,0.13789858,-0.033365875,-0.09062708,0.07543851
138,298.15,CCCC[N+]1(C)CCCCC1.O=S(=O)([O-])C(F)(F)F,0.6332084,0.66163063,0.3919553,0.3599084,0.047586
139,298.15,CCCC[N+]1(C)CCCCC1.[Cl-],1.07968,1.1035798,0.8561139,0.81423396,0.07104367
