SMILES,IL_SMILES,T/K,r,Normalized SMILES,index,index1,lnr
C=Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,303.15,2.456,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1,1,0.898534010284896
C=Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,313.15,2.475,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1,2,0.9062403960206536
C=Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,323.15,2.49,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1,3,0.9122827104766164
C=Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,333.15,2.511,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1,4,0.920681080175448
C=Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,343.15,2.531,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1,5,0.9286144815629871
C=Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,353.15,2.543,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1,6,0.9333444864399827
C=Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,363.15,2.57,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1,7,0.9439058989071284
C=Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,303.15,2.28,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,2,8,0.8241754429663494
C=Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,313.15,2.39,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,2,9,0.8712933659434193
C=Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,323.15,2.46,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,2,10,0.9001613499442714
C=Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,333.15,2.53,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,2,11,0.9282193027394288
C=Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,343.15,2.61,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,2,12,0.959350221334602
C=Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,353.15,2.68,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,2,13,0.9858167945227654
C=Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,363.15,2.73,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,2,14,1.0043016091968684
C=Cc1ccccc1,CCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.15,1.28,CCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3,15,0.2468600779315258
