SMILES,IL_SMILES,T/K,r,Normalized SMILES,index,index1,lnr
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,363.0,6.03,CC(=O)[O-].CC[n+]1ccn(C)c1,1,1,1.7967470107390942
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,373.0,5.96,CC(=O)[O-].CC[n+]1ccn(C)c1,1,2,1.7850704810772584
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,383.0,6.06,CC(=O)[O-].CC[n+]1ccn(C)c1,1,3,1.801709800081223
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,393.0,6.08,CC(=O)[O-].CC[n+]1ccn(C)c1,1,4,1.8050046959780757
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,403.0,6.26,CC(=O)[O-].CC[n+]1ccn(C)c1,1,5,1.8341801851120072
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,413.0,6.68,CC(=O)[O-].CC[n+]1ccn(C)c1,1,6,1.8991179875485542
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,313.0,5.01,CC(=O)[O-].CC[n+]1ccn(C)c1,1,7,1.6114359150967734
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,333.0,5.41,CC(=O)[O-].CC[n+]1ccn(C)c1,1,8,1.6882490928583902
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,353.0,5.76,CC(=O)[O-].CC[n+]1ccn(C)c1,1,9,1.7509374747078
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.N#C[S-],298.2,2.55,CCCC[n+]1ccc(C)cc1.N#C[S-],2,10,0.9360933591703348
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.N#C[S-],308.2,2.59,CCCC[n+]1ccc(C)cc1.N#C[S-],2,11,0.9516578757114463
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.N#C[S-],318.2,2.61,CCCC[n+]1ccc(C)cc1.N#C[S-],2,12,0.959350221334602
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.N#C[S-],328.2,2.65,CCCC[n+]1ccc(C)cc1.N#C[S-],2,13,0.9745596399981308
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.N#C[S-],338.2,2.67,CCCC[n+]1ccc(C)cc1.N#C[S-],2,14,0.9820784724121582
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.N#C[S-],348.2,2.69,CCCC[n+]1ccc(C)cc1.N#C[S-],2,15,0.9895411936137477
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.N#C[S-],358.2,2.74,CCCC[n+]1ccc(C)cc1.N#C[S-],2,16,1.007957920399979
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.N#C[S-],368.2,2.75,CCCC[n+]1ccc(C)cc1.N#C[S-],2,17,1.0116009116784799
Cc1ccccc1,CCCC[N+]1(C)CCCC1.N#C[S-],298.15,2.89,CCCC[N+]1(C)CCCC1.N#C[S-],3,18,1.0612565021243408
Cc1ccccc1,CCCC[N+]1(C)CCCC1.N#C[S-],308.15,2.98,CCCC[N+]1(C)CCCC1.N#C[S-],3,19,1.091923300517313
Cc1ccccc1,CCCC[N+]1(C)CCCC1.N#C[S-],318.15,3.07,CCCC[N+]1(C)CCCC1.N#C[S-],3,20,1.1216775615991057
Cc1ccccc1,CCCC[N+]1(C)CCCC1.N#C[S-],328.15,3.16,CCCC[N+]1(C)CCCC1.N#C[S-],3,21,1.1505720275988207
Cc1ccccc1,CCCC[N+]1(C)CCCC1.N#C[S-],338.15,3.25,CCCC[N+]1(C)CCCC1.N#C[S-],3,22,1.1786549963416462
Cc1ccccc1,CCCC[N+]1(C)CCCC1.N#C[S-],348.15,3.31,CCCC[N+]1(C)CCCC1.N#C[S-],3,23,1.1969481893889715
Cc1ccccc1,CCCC[N+]1(C)CCCC1.N#C[S-],358.15,3.41,CCCC[N+]1(C)CCCC1.N#C[S-],3,24,1.2267122912954254
Cc1ccccc1,CCCC[N+]1(C)CCCC1.N#C[S-],368.15,3.48,CCCC[N+]1(C)CCCC1.N#C[S-],3,25,1.247032293786383
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,298.15,4.337,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4,26,1.467182864853229
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,308.15,4.373,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4,27,1.4754492724307835
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,318.15,4.403,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4,28,1.4822861267736167
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,328.15,4.433,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4,29,1.4890765557629164
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,338.15,4.462,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4,30,1.4955970960103406
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,348.15,4.485,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4,31,1.5007384955107594
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,358.15,4.502,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4,32,1.5045217424845405
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,368.15,4.52,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4,33,1.5085119938441398
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],298.15,6.01,CC[n+]1ccn(C)c1.N#C[S-],5,34,1.7934247485471162
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],308.15,6.04,CC[n+]1ccn(C)c1.N#C[S-],5,35,1.7984040119467235
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],318.15,6.07,CC[n+]1ccn(C)c1.N#C[S-],5,36,1.803358605071407
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],328.15,6.1,CC[n+]1ccn(C)c1.N#C[S-],5,37,1.8082887711792655
