SMILES,IL_SMILES,T/K,r,Normalized SMILES,index
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,363,6.07,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,363,6.21,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,373,5.92,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,373,6.08,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,383,6.03,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,383,6.12,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,393,5.87,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,393,6.23,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,403,6.04,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,403,6.28,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,413,6.37,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,413,7.11,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,313,5.01,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,333,5.41,CC(=O)[O-].CC[n+]1ccn(C)c1,1
Cc1ccccc1,CC(=O)[O-].CC[n+]1ccn(C)c1,353,5.76,CC(=O)[O-].CC[n+]1ccn(C)c1,1
